carrier_1,carrier_2,region_2,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,length
electricity,,DED4,DEG0,capaExcResi,1.47,costExpExc,291.93,costOprExc,4.38,lossExc,0.0064,127.759
electricity,,DED4,DED5,capaExcResi,0.49,costExpExc,160.78,costOprExc,2.41,lossExc,0.0035,70.364
electricity,,DEA2,DEA1,capaExcResi,22.85,costExpExc,157.24,costOprExc,2.36,lossExc,0.0034,68.812
electricity,,DEF0,DE60,capaExcResi,6.8,costExpExc,140.54,costOprExc,2.11,lossExc,0.0031,61.504
electricity,,DEG0,DED5,capaExcResi,1.47,costExpExc,287.83,costOprExc,4.32,lossExc,0.0063,125.966
electricity,,DEG0,DE26,capaExcResi,0,costExpExc,286.86,costOprExc,4.3,lossExc,0.0063,125.54
electricity,,DED5,DED2,capaExcResi,3.4,costExpExc,236.57,costOprExc,3.55,lossExc,0.0052,103.53
gas,hydrogen,DE21,DE27,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE27,DE21,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE21,DE22,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE22,DE23,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE80,DE93,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE93,DE94,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE40,DEE0,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEE0,DEG0,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DED4,DEG0,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEG0,DED4,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE73,DEG0,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA4,DE94,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA4,DE92,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE73,DEA4,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE73,DE71,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE94,DE93,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA4,DEA3,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA3,DEA5,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA5,DEA1,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA1,DEA2,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA2,DEA1,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE23,DE25,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE25,DE26,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE26,DE71,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE71,DEB3,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA2,DEB2,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEB2,DEB1,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEB1,DEB3,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEB3,DE12,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE12,DE13,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE71,DE12,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE12,DEB3,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEF0,DE93,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE93,DEF0,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEF0,DE80,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE94,DE50,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE93,DE92,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE92,DE93,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE92,DE91,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE94,DE92,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE92,DEA4,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE92,DE94,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
