region_1,region_2,region_1,region_2,carrier_1,parameter,value
FR,FR,ES,ES,electricity,capaExcResiDir,5
IT,IT,ES,ES,electricity,capaExcResiDir,0
UK,UK,ES,ES,electricity,capaExcResiDir,0
PT,PT,ES,ES,electricity,capaExcResiDir,4.5
NO,NO,FI,FI,electricity,capaExcResiDir,0
SE,SE,FI,FI,electricity,capaExcResiDir,3.2
IT,IT,FR,FR,electricity,capaExcResiDir,4.31
LU,LU,FR,FR,electricity,capaExcResiDir,0
UK,UK,FR,FR,electricity,capaExcResiDir,2
IT,IT,GR,GR,electricity,capaExcResiDir,0.5
NONEU_Balkan,NONEU_Balkan,GR,GR,electricity,capaExcResiDir,1.1
TR,TR,GR,GR,electricity,capaExcResiDir,0.58
HU,HU,HR,HR,electricity,capaExcResiDir,2
IT,IT,HR,HR,electricity,capaExcResiDir,0
NONEU_Balkan,NONEU_Balkan,HR,HR,electricity,capaExcResiDir,1.35
SI,SI,HR,HR,electricity,capaExcResiDir,1.5
NONEU_Balkan,NONEU_Balkan,HU,HU,electricity,capaExcResiDir,0.6
RO,RO,HU,HU,electricity,capaExcResiDir,1.435
SI,SI,HU,HU,electricity,capaExcResiDir,2.4
SK,SK,HU,HU,electricity,capaExcResiDir,3.3
UK,UK,IE,IE,electricity,capaExcResiDir,1.7
NONEU_Balkan,NONEU_Balkan,IT,IT,electricity,capaExcResiDir,0.8
SI,SI,IT,IT,electricity,capaExcResiDir,0.73
LV,LV,LT,LT,electricity,capaExcResiDir,1.5
PL,PL,LT,LT,electricity,capaExcResiDir,1
SE,SE,LT,LT,electricity,capaExcResiDir,0.7
SE,SE,LV,LV,electricity,capaExcResiDir,0
NO,NO,NL,NL,electricity,capaExcResiDir,0.7
UK,UK,NL,NL,electricity,capaExcResiDir,1
SE,SE,NO,NO,electricity,capaExcResiDir,3.995
UK,UK,NO,NO,electricity,capaExcResiDir,0
RO,RO,NONEU_Balkan,NONEU_Balkan,electricity,capaExcResiDir,1
SE,SE,PL,PL,electricity,capaExcResiDir,0.6
SK,SK,PL,PL,electricity,capaExcResiDir,0.99
TR,TR,RO,RO,electricity,capaExcResiDir,0
FI,FI,EE,EE,electricity,capaExcResiDir,1
LV,LV,EE,EE,electricity,capaExcResiDir,1.5
SE,SE,EE,EE,electricity,capaExcResiDir,0
