region_1,region_2,carrier_1,parameter,timestep_2,value
DK,DK,electricity,dem,d105,3.938935982
ES,ES,electricity,dem,d105,25.74010932
FI,FI,electricity,dem,d105,2.221964481
FR,FR,electricity,dem,d105,48.4342372
GR,GR,electricity,dem,d105,5.080675031
HR,HR,electricity,dem,d105,1.887539654
HU,HU,electricity,dem,d105,3.182564668
IE,IE,electricity,dem,d105,2.602171891
IT,IT,electricity,dem,d105,13.7261389
LU,LU,electricity,dem,d105,0.787112686
NL,NL,electricity,dem,d105,7.595275754
NO,NO,electricity,dem,d105,10.95536674
PL,PL,electricity,dem,d105,15.68912302
PT,PT,electricity,dem,d105,4.78471177
RO,RO,electricity,dem,d105,5.359938809
SE,SE,electricity,dem,d105,12.5433328
SI,SI,electricity,dem,d105,0.841387925
SK,SK,electricity,dem,d105,1.902210772
UK,UK,electricity,dem,d105,31.7170671
EE,EE,electricity,dem,d105,0.756468998
LT,LT,electricity,dem,d105,0.484731891
LV,LV,electricity,dem,d105,0.648642701
NONEU_Balkan,NONEU_Balkan,electricity,dem,d105,4.652077266
TR,TR,electricity,dem,d105,20.7918214
AT,AT,electricity,dem,d106,4.353593547
BE,BE,electricity,dem,d106,5.273481686
BG,BG,electricity,dem,d106,3.456964998
CH,CH,electricity,dem,d106,8.032602745
CZ,CZ,electricity,dem,d106,4.870207542
DK,DK,electricity,dem,d106,3.976767994
ES,ES,electricity,dem,d106,26.30158316
FI,FI,electricity,dem,d106,2.185437104
FR,FR,electricity,dem,d106,49.35650187
GR,GR,electricity,dem,d106,5.209571549
HR,HR,electricity,dem,d106,1.889328874
HU,HU,electricity,dem,d106,3.235404574
IE,IE,electricity,dem,d106,2.622584675
IT,IT,electricity,dem,d106,14.31247174
LU,LU,electricity,dem,d106,0.855703741
NL,NL,electricity,dem,d106,7.663767922
NO,NO,electricity,dem,d106,11.00528369
PL,PL,electricity,dem,d106,15.89835299
PT,PT,electricity,dem,d106,4.813818306
RO,RO,electricity,dem,d106,5.489087957
SE,SE,electricity,dem,d106,12.28140147
SI,SI,electricity,dem,d106,0.879083242
SK,SK,electricity,dem,d106,1.924985783
UK,UK,electricity,dem,d106,31.57684482
EE,EE,electricity,dem,d106,0.759790663
LT,LT,electricity,dem,d106,0.472857271
LV,LV,electricity,dem,d106,0.671238798
NONEU_Balkan,NONEU_Balkan,electricity,dem,d106,4.7053859
TR,TR,electricity,dem,d106,21.31930906
AT,AT,electricity,dem,d107,4.336157014
BE,BE,electricity,dem,d107,5.166256099
BG,BG,electricity,dem,d107,3.301593768
CH,CH,electricity,dem,d107,7.709376639
CZ,CZ,electricity,dem,d107,4.883137296
DK,DK,electricity,dem,d107,3.915542953
ES,ES,electricity,dem,d107,26.0287836
FI,FI,electricity,dem,d107,2.156251867
FR,FR,electricity,dem,d107,48.37271005
GR,GR,electricity,dem,d107,5.091719259
HR,HR,electricity,dem,d107,1.894827452
HU,HU,electricity,dem,d107,3.250693899
IE,IE,electricity,dem,d107,2.682320471
IT,IT,electricity,dem,d107,14.26701492
LU,LU,electricity,dem,d107,0.759846955
NL,NL,electricity,dem,d107,7.676929257
NO,NO,electricity,dem,d107,10.64861956
PL,PL,electricity,dem,d107,15.88142474
PT,PT,electricity,dem,d107,4.822824857
RO,RO,electricity,dem,d107,5.345946693
SE,SE,electricity,dem,d107,12.00272277
SI,SI,electricity,dem,d107,0.87926105
SK,SK,electricity,dem,d107,1.936794104
UK,UK,electricity,dem,d107,32.42020133
EE,EE,electricity,dem,d107,0.756275502
LT,LT,electricity,dem,d107,0.471603839
LV,LV,electricity,dem,d107,0.666799185
NONEU_Balkan,NONEU_Balkan,electricity,dem,d107,4.649016512
TR,TR,electricity,dem,d107,20.83701807
AT,AT,electricity,dem,d108,4.282734928
BE,BE,electricity,dem,d108,5.132147817
BG,BG,electricity,dem,d108,3.324707437
CH,CH,electricity,dem,d108,7.46461608
CZ,CZ,electricity,dem,d108,4.81172395
DK,DK,electricity,dem,d108,4.18266415
ES,ES,electricity,dem,d108,26.1982194
FI,FI,electricity,dem,d108,2.176738364
FR,FR,electricity,dem,d108,48.20330958
GR,GR,electricity,dem,d108,5.193052406
HR,HR,electricity,dem,d108,1.866941806
HU,HU,electricity,dem,d108,3.232835968
IE,IE,electricity,dem,d108,2.649080982
IT,IT,electricity,dem,d108,14.08980979
LU,LU,electricity,dem,d108,0.728448691
NL,NL,electricity,dem,d108,7.540912667
NO,NO,electricity,dem,d108,10.80660253
PL,PL,electricity,dem,d108,15.6687142
PT,PT,electricity,dem,d108,4.82472868
RO,RO,electricity,dem,d108,5.309605526
SE,SE,electricity,dem,d108,12.2142217
SI,SI,electricity,dem,d108,0.890335955
SK,SK,electricity,dem,d108,1.905271244
UK,UK,electricity,dem,d108,31.66321472
EE,EE,electricity,dem,d108,0.743472578
LT,LT,electricity,dem,d108,0.471768764
LV,LV,electricity,dem,d108,0.624025815
NONEU_Balkan,NONEU_Balkan,electricity,dem,d108,4.599673131
TR,TR,electricity,dem,d108,21.2517072
AT,AT,electricity,dem,d109,4.359950617
BE,BE,electricity,dem,d109,5.14569049
BG,BG,electricity,dem,d109,3.4043491
CH,CH,electricity,dem,d109,7.955504194
CZ,CZ,electricity,dem,d109,4.806072534
DK,DK,electricity,dem,d109,4.016897117
ES,ES,electricity,dem,d109,26.25423614
FI,FI,electricity,dem,d109,2.204585333
FR,FR,electricity,dem,d109,50.08157445
GR,GR,electricity,dem,d109,5.362680413
HR,HR,electricity,dem,d109,1.863974319
HU,HU,electricity,dem,d109,3.187334938
IE,IE,electricity,dem,d109,2.637427005
IT,IT,electricity,dem,d109,14.18196036
LU,LU,electricity,dem,d109,0.81806176
NL,NL,electricity,dem,d109,7.575001492
NO,NO,electricity,dem,d109,10.90230494
PL,PL,electricity,dem,d109,15.88193892
PT,PT,electricity,dem,d109,4.842412274
RO,RO,electricity,dem,d109,5.296303432
SE,SE,electricity,dem,d109,12.20829034
SI,SI,electricity,dem,d109,0.879184847
SK,SK,electricity,dem,d109,1.863903866
UK,UK,electricity,dem,d109,32.43096417
EE,EE,electricity,dem,d109,0.723897327
LT,LT,electricity,dem,d109,0.467282796
LV,LV,electricity,dem,d109,0.601184774
NONEU_Balkan,NONEU_Balkan,electricity,dem,d109,4.58831231
TR,TR,electricity,dem,d109,21.94588173
AT,AT,electricity,dem,d110,3.708759675
BE,BE,electricity,dem,d110,4.569875306
BG,BG,electricity,dem,d110,3.103907297
CH,CH,electricity,dem,d110,7.117809301
CZ,CZ,electricity,dem,d110,4.121965786
DK,DK,electricity,dem,d110,3.282431025
ES,ES,electricity,dem,d110,23.20055166
FI,FI,electricity,dem,d110,2.008455774
FR,FR,electricity,dem,d110,47.30522202
GR,GR,electricity,dem,d110,5.180120276
HR,HR,electricity,dem,d110,1.731790248
HU,HU,electricity,dem,d110,2.907937818
IE,IE,electricity,dem,d110,2.389395185
IT,IT,electricity,dem,d110,12.19924196
LU,LU,electricity,dem,d110,0.721441354
NL,NL,electricity,dem,d110,6.53624797
NO,NO,electricity,dem,d110,10.38364968
PL,PL,electricity,dem,d110,14.36875931
PT,PT,electricity,dem,d110,4.19134117
RO,RO,electricity,dem,d110,4.796727387
SE,SE,electricity,dem,d110,11.12472309
SI,SI,electricity,dem,d110,0.769604256
SK,SK,electricity,dem,d110,1.727126278
UK,UK,electricity,dem,d110,28.58939263
EE,EE,electricity,dem,d110,0.649304975
LT,LT,electricity,dem,d110,0.415941557
LV,LV,electricity,dem,d110,0.551522349
NONEU_Balkan,NONEU_Balkan,electricity,dem,d110,4.502009298
TR,TR,electricity,dem,d110,21.1987846
AT,AT,electricity,dem,d111,3.270871115
BE,BE,electricity,dem,d111,4.366603948
BG,BG,electricity,dem,d111,3.129317976
CH,CH,electricity,dem,d111,6.521662527
CZ,CZ,electricity,dem,d111,3.927990926
DK,DK,electricity,dem,d111,3.320075518
ES,ES,electricity,dem,d111,21.44158633
FI,FI,electricity,dem,d111,1.911284701
FR,FR,electricity,dem,d111,44.70116168
GR,GR,electricity,dem,d111,4.649714171
HR,HR,electricity,dem,d111,1.655682946
HU,HU,electricity,dem,d111,2.727370894
IE,IE,electricity,dem,d111,2.269483821
IT,IT,electricity,dem,d111,10.83908517
LU,LU,electricity,dem,d111,0.628504291
NL,NL,electricity,dem,d111,6.154448288
NO,NO,electricity,dem,d111,10.00114837
PL,PL,electricity,dem,d111,12.7336014
PT,PT,electricity,dem,d111,3.891049588
RO,RO,electricity,dem,d111,4.371290391
SE,SE,electricity,dem,d111,10.91858459
SI,SI,electricity,dem,d111,0.754947788
SK,SK,electricity,dem,d111,1.674741202
UK,UK,electricity,dem,d111,28.13628459
EE,EE,electricity,dem,d111,0.633986615
LT,LT,electricity,dem,d111,0.400982834
LV,LV,electricity,dem,d111,0.536917555
NONEU_Balkan,NONEU_Balkan,electricity,dem,d111,4.518080858
TR,TR,electricity,dem,d111,19.02818543
AT,AT,electricity,dem,d112,4.292588385
BE,BE,electricity,dem,d112,5.110816467
BG,BG,electricity,dem,d112,3.181933874
CH,CH,electricity,dem,d112,8.355145352
CZ,CZ,electricity,dem,d112,4.754553314
DK,DK,electricity,dem,d112,3.973064488
ES,ES,electricity,dem,d112,25.60907369
FI,FI,electricity,dem,d112,2.08972346
FR,FR,electricity,dem,d112,51.7273454
GR,GR,electricity,dem,d112,5.083884465
HR,HR,electricity,dem,d112,1.903293516
HU,HU,electricity,dem,d112,3.119694965
IE,IE,electricity,dem,d112,2.580073311
IT,IT,electricity,dem,d112,13.96421353
LU,LU,electricity,dem,d112,0.770268124
NL,NL,electricity,dem,d112,7.508033523
NO,NO,electricity,dem,d112,10.78594511
PL,PL,electricity,dem,d112,15.16213245
PT,PT,electricity,dem,d112,4.668249014
RO,RO,electricity,dem,d112,5.137214989
SE,SE,electricity,dem,d112,12.33655993
SI,SI,electricity,dem,d112,0.8671701
SK,SK,electricity,dem,d112,1.860409827
UK,UK,electricity,dem,d112,32.02163265
EE,EE,electricity,dem,d112,0.715706035
LT,LT,electricity,dem,d112,0.448250419
LV,LV,electricity,dem,d112,0.607890119
NONEU_Balkan,NONEU_Balkan,electricity,dem,d112,4.564504077
TR,TR,electricity,dem,d112,20.80495548
AT,AT,electricity,dem,d113,4.325622442
BE,BE,electricity,dem,d113,5.14582176
BG,BG,electricity,dem,d113,3.038693732
CH,CH,electricity,dem,d113,8.07108367
CZ,CZ,electricity,dem,d113,4.762431045
DK,DK,electricity,dem,d113,4.211073319
ES,ES,electricity,dem,d113,25.90625934
FI,FI,electricity,dem,d113,2.084012906
FR,FR,electricity,dem,d113,51.50629747
GR,GR,electricity,dem,d113,5.27843278
HR,HR,electricity,dem,d113,1.902420726
HU,HU,electricity,dem,d113,3.182136567
IE,IE,electricity,dem,d113,2.614412232
IT,IT,electricity,dem,d113,14.22320189
LU,LU,electricity,dem,d113,0.725978156
NL,NL,electricity,dem,d113,7.64349366
NO,NO,electricity,dem,d113,10.49560053
PL,PL,electricity,dem,d113,15.51821892
PT,PT,electricity,dem,d113,4.78690849
RO,RO,electricity,dem,d113,5.055025683
SE,SE,electricity,dem,d113,12.10022542
SI,SI,electricity,dem,d113,0.864706188
SK,SK,electricity,dem,d113,1.880863981
UK,UK,electricity,dem,d113,31.55367799
EE,EE,electricity,dem,d113,0.726090271
LT,LT,electricity,dem,d113,0.459630263
LV,LV,electricity,dem,d113,0.609635346
NONEU_Balkan,NONEU_Balkan,electricity,dem,d113,4.503894842
TR,TR,electricity,dem,d113,21.60111225
AT,AT,electricity,dem,d114,4.247975381
BE,BE,electricity,dem,d114,5.058461677
BG,BG,electricity,dem,d114,3.082085697
CH,CH,electricity,dem,d114,7.894262792
CZ,CZ,electricity,dem,d114,4.71736243
DK,DK,electricity,dem,d114,4.137284487
ES,ES,electricity,dem,d114,26.28887547
FI,FI,electricity,dem,d114,2.035596945
FR,FR,electricity,dem,d114,49.61353436
GR,GR,electricity,dem,d114,5.164167503
HR,HR,electricity,dem,d114,1.916472648
HU,HU,electricity,dem,d114,3.198924246
IE,IE,electricity,dem,d114,2.624307118
IT,IT,electricity,dem,d114,14.07114205
LU,LU,electricity,dem,d114,0.727595234
NL,NL,electricity,dem,d114,7.550807861
NO,NO,electricity,dem,d114,10.70100306
PL,PL,electricity,dem,d114,15.45406561
PT,PT,electricity,dem,d114,4.749637479
RO,RO,electricity,dem,d114,5.166387593
SE,SE,electricity,dem,d114,12.1862777
SI,SI,electricity,dem,d114,0.864020356
SK,SK,electricity,dem,d114,1.883184839
UK,UK,electricity,dem,d114,31.80442933
EE,EE,electricity,dem,d114,0.717124999
LT,LT,electricity,dem,d114,0.456843026
LV,LV,electricity,dem,d114,0.593101617
NONEU_Balkan,NONEU_Balkan,electricity,dem,d114,4.484134454
TR,TR,electricity,dem,d114,21.13350052
AT,AT,electricity,dem,d115,4.252334514
BE,BE,electricity,dem,d115,4.974492731
BG,BG,electricity,dem,d115,3.001941563
CH,CH,electricity,dem,d115,7.530026819
CZ,CZ,electricity,dem,d115,4.706145226
DK,DK,electricity,dem,d115,3.928575542
ES,ES,electricity,dem,d115,26.47438393
FI,FI,electricity,dem,d115,2.046568907
FR,FR,electricity,dem,d115,47.95523307
GR,GR,electricity,dem,d115,5.193335591
HR,HR,electricity,dem,d115,1.911977778
HU,HU,electricity,dem,d115,3.21106397
IE,IE,electricity,dem,d115,2.619176436
IT,IT,electricity,dem,d115,10.80389803
LU,LU,electricity,dem,d115,0.694490055
NL,NL,electricity,dem,d115,7.630743617
NO,NO,electricity,dem,d115,10.66193897
PL,PL,electricity,dem,d115,15.52051293
PT,PT,electricity,dem,d115,4.036142923
RO,RO,electricity,dem,d115,5.123261208
SE,SE,electricity,dem,d115,12.06498617
SI,SI,electricity,dem,d115,0.859321142
SK,SK,electricity,dem,d115,1.872090628
UK,UK,electricity,dem,d115,32.11952872
EE,EE,electricity,dem,d115,0.717834481
LT,LT,electricity,dem,d115,0.457057429
LV,LV,electricity,dem,d115,0.603511743
NONEU_Balkan,NONEU_Balkan,electricity,dem,d115,4.415639446
TR,TR,electricity,dem,d115,21.25286609
AT,AT,electricity,dem,d116,4.166150816
BE,BE,electricity,dem,d116,5.068919508
BG,BG,electricity,dem,d116,2.986077833
CH,CH,electricity,dem,d116,7.625101362
CZ,CZ,electricity,dem,d116,4.578331891
DK,DK,electricity,dem,d116,3.361751675
ES,ES,electricity,dem,d116,26.1410942
FI,FI,electricity,dem,d116,2.150944627
FR,FR,electricity,dem,d116,48.86998758
GR,GR,electricity,dem,d116,5.226137891
HR,HR,electricity,dem,d116,1.895743881
HU,HU,electricity,dem,d116,3.205039976
IE,IE,electricity,dem,d116,2.574173027
IT,IT,electricity,dem,d116,12.20065791
LU,LU,electricity,dem,d116,0.850133806
NL,NL,electricity,dem,d116,7.778494118
NO,NO,electricity,dem,d116,10.58451991
PL,PL,electricity,dem,d116,15.53000541
PT,PT,electricity,dem,d116,4.455789608
RO,RO,electricity,dem,d116,5.068404446
SE,SE,electricity,dem,d116,11.82779527
SI,SI,electricity,dem,d116,0.839279629
SK,SK,electricity,dem,d116,1.875253116
UK,UK,electricity,dem,d116,31.21243481
EE,EE,electricity,dem,d116,0.734797549
LT,LT,electricity,dem,d116,0.454962878
LV,LV,electricity,dem,d116,0.617320469
NONEU_Balkan,NONEU_Balkan,electricity,dem,d116,4.356475564
TR,TR,electricity,dem,d116,21.38710407
AT,AT,electricity,dem,d117,3.576691559
BE,BE,electricity,dem,d117,4.504677949
BG,BG,electricity,dem,d117,2.945270005
CH,CH,electricity,dem,d117,6.917407748
CZ,CZ,electricity,dem,d117,4.011991517
DK,DK,electricity,dem,d117,3.203110374
ES,ES,electricity,dem,d117,23.71432219
FI,FI,electricity,dem,d117,1.987373474
FR,FR,electricity,dem,d117,47.17421577
GR,GR,electricity,dem,d117,5.068875643
HR,HR,electricity,dem,d117,1.794369303
HU,HU,electricity,dem,d117,2.907662611
IE,IE,electricity,dem,d117,2.345088083
IT,IT,electricity,dem,d117,11.61691283
LU,LU,electricity,dem,d117,0.734467815
NL,NL,electricity,dem,d117,6.57423197
NO,NO,electricity,dem,d117,10.035526
PL,PL,electricity,dem,d117,14.18670155
PT,PT,electricity,dem,d117,4.082090977
RO,RO,electricity,dem,d117,4.674401792
SE,SE,electricity,dem,d117,10.80503238
SI,SI,electricity,dem,d117,0.7134931
SK,SK,electricity,dem,d117,1.699071953
UK,UK,electricity,dem,d117,28.49084774
EE,EE,electricity,dem,d117,0.659656962
LT,LT,electricity,dem,d117,0.410251634
LV,LV,electricity,dem,d117,0.554400443
NONEU_Balkan,NONEU_Balkan,electricity,dem,d117,4.258332403
TR,TR,electricity,dem,d117,20.74353436
AT,AT,electricity,dem,d118,3.220854602
BE,BE,electricity,dem,d118,4.330264078
BG,BG,electricity,dem,d118,2.824892296
CH,CH,electricity,dem,d118,6.44962186
CZ,CZ,electricity,dem,d118,3.958160353
DK,DK,electricity,dem,d118,3.25533449
ES,ES,electricity,dem,d118,22.46599994
FI,FI,electricity,dem,d118,1.923301612
FR,FR,electricity,dem,d118,46.71055327
GR,GR,electricity,dem,d118,4.683696409
HR,HR,electricity,dem,d118,1.695482178
HU,HU,electricity,dem,d118,2.748684212
IE,IE,electricity,dem,d118,2.238076718
IT,IT,electricity,dem,d118,10.53433075
LU,LU,electricity,dem,d118,0.670368642
NL,NL,electricity,dem,d118,6.109182006
NO,NO,electricity,dem,d118,10.29318871
PL,PL,electricity,dem,d118,12.67316597
PT,PT,electricity,dem,d118,3.87640479
RO,RO,electricity,dem,d118,4.128287586
SE,SE,electricity,dem,d118,10.79370887
SI,SI,electricity,dem,d118,0.714686954
SK,SK,electricity,dem,d118,1.640846476
UK,UK,electricity,dem,d118,27.58634912
EE,EE,electricity,dem,d118,0.629374982
LT,LT,electricity,dem,d118,0.399350073
LV,LV,electricity,dem,d118,0.525374562
NONEU_Balkan,NONEU_Balkan,electricity,dem,d118,4.16870819
TR,TR,electricity,dem,d118,19.16725211
AT,AT,electricity,dem,d119,4.239438745
BE,BE,electricity,dem,d119,5.085743926
BG,BG,electricity,dem,d119,2.915983121
CH,CH,electricity,dem,d119,8.084616927
CZ,CZ,electricity,dem,d119,4.710940367
DK,DK,electricity,dem,d119,4.011834097
ES,ES,electricity,dem,d119,27.42263061
FI,FI,electricity,dem,d119,2.120796937
FR,FR,electricity,dem,d119,54.14561945
GR,GR,electricity,dem,d119,5.244214554
HR,HR,electricity,dem,d119,1.900369669
HU,HU,electricity,dem,d119,3.15333148
IE,IE,electricity,dem,d119,2.524185527
IT,IT,electricity,dem,d119,13.32049409
LU,LU,electricity,dem,d119,0.808314374
NL,NL,electricity,dem,d119,7.120838662
NO,NO,electricity,dem,d119,11.03596149
PL,PL,electricity,dem,d119,14.81933545
PT,PT,electricity,dem,d119,4.746525459
RO,RO,electricity,dem,d119,4.983838397
SE,SE,electricity,dem,d119,12.25751744
SI,SI,electricity,dem,d119,0.761882304
SK,SK,electricity,dem,d119,1.831335345
UK,UK,electricity,dem,d119,31.05854906
EE,EE,electricity,dem,d119,0.702064632
LT,LT,electricity,dem,d119,0.451136611
LV,LV,electricity,dem,d119,0.609543493
NONEU_Balkan,NONEU_Balkan,electricity,dem,d119,4.226839396
TR,TR,electricity,dem,d119,21.46107982
AT,AT,electricity,dem,d120,4.264844318
BE,BE,electricity,dem,d120,5.176429512
BG,BG,electricity,dem,d120,2.881671525
CH,CH,electricity,dem,d120,8.043128611
CZ,CZ,electricity,dem,d120,4.640982688
DK,DK,electricity,dem,d120,4.004239567
ES,ES,electricity,dem,d120,27.19622795
FI,FI,electricity,dem,d120,2.09134588
FR,FR,electricity,dem,d120,53.96099784
GR,GR,electricity,dem,d120,5.329075754
HR,HR,electricity,dem,d120,1.894652894
HU,HU,electricity,dem,d120,3.195530016
IE,IE,electricity,dem,d120,2.612213368
IT,IT,electricity,dem,d120,13.51275384
LU,LU,electricity,dem,d120,0.756478042
NL,NL,electricity,dem,d120,6.106254576
NO,NO,electricity,dem,d120,10.62672887
PL,PL,electricity,dem,d120,14.7282868
PT,PT,electricity,dem,d120,4.880305689
RO,RO,electricity,dem,d120,5.057479095
SE,SE,electricity,dem,d120,12.06920473
SI,SI,electricity,dem,d120,0.723018534
SK,SK,electricity,dem,d120,1.849647168
UK,UK,electricity,dem,d120,31.92820202
EE,EE,electricity,dem,d120,0.691906141
LT,LT,electricity,dem,d120,0.444869451
LV,LV,electricity,dem,d120,0.588600768
NONEU_Balkan,NONEU_Balkan,electricity,dem,d120,4.232923046
TR,TR,electricity,dem,d120,21.80836023
AT,AT,electricity,dem,d121,3.4069124
BE,BE,electricity,dem,d121,4.332167491
BG,BG,electricity,dem,d121,2.692921861
CH,CH,electricity,dem,d121,6.795266693
CZ,CZ,electricity,dem,d121,4.040847989
DK,DK,electricity,dem,d121,3.543786004
ES,ES,electricity,dem,d121,22.10503834
FI,FI,electricity,dem,d121,1.907865702
FR,FR,electricity,dem,d121,44.55007477
GR,GR,electricity,dem,d121,5.195081901
HR,HR,electricity,dem,d121,1.643071128
HU,HU,electricity,dem,d121,2.654991231
IE,IE,electricity,dem,d121,2.611187232
IT,IT,electricity,dem,d121,10.26670022
LU,LU,electricity,dem,d121,0.647684632
NL,NL,electricity,dem,d121,7.400105738
NO,NO,electricity,dem,d121,10.40184054
PL,PL,electricity,dem,d121,12.41694826
PT,PT,electricity,dem,d121,4.128405151
RO,RO,electricity,dem,d121,4.537010713
SE,SE,electricity,dem,d121,10.77391653
SI,SI,electricity,dem,d121,0.613234733
SK,SK,electricity,dem,d121,1.679229894
UK,UK,electricity,dem,d121,31.61997252
EE,EE,electricity,dem,d121,0.619861474
LT,LT,electricity,dem,d121,0.394880598
LV,LV,electricity,dem,d121,0.532171762
NONEU_Balkan,NONEU_Balkan,electricity,dem,d121,3.873716851
TR,TR,electricity,dem,d121,21.26001257
AT,AT,electricity,dem,d122,4.2902953
BE,BE,electricity,dem,d122,5.079771148
BG,BG,electricity,dem,d122,2.733729689
CH,CH,electricity,dem,d122,7.358332174
CZ,CZ,electricity,dem,d122,4.71724826
DK,DK,electricity,dem,d122,3.795202463
ES,ES,electricity,dem,d122,25.1870677
FI,FI,electricity,dem,d122,2.071931831
FR,FR,electricity,dem,d122,50.75170632
GR,GR,electricity,dem,d122,5.173323828
HR,HR,electricity,dem,d122,1.89408558
HU,HU,electricity,dem,d122,3.12727847
IE,IE,electricity,dem,d122,2.609134959
IT,IT,electricity,dem,d122,13.28571384
LU,LU,electricity,dem,d122,0.781138481
NL,NL,electricity,dem,d122,7.559807892
NO,NO,electricity,dem,d122,10.98419463
PL,PL,electricity,dem,d122,13.2711919
PT,PT,electricity,dem,d122,4.690106375
RO,RO,electricity,dem,d122,4.667731578
SE,SE,electricity,dem,d122,11.78510217
SI,SI,electricity,dem,d122,0.632514211
SK,SK,electricity,dem,d122,1.845260492
UK,UK,electricity,dem,d122,31.31987241
EE,EE,electricity,dem,d122,0.691841643
LT,LT,electricity,dem,d122,0.447029972
LV,LV,electricity,dem,d122,0.584681662
NONEU_Balkan,NONEU_Balkan,electricity,dem,d122,4.045923246
TR,TR,electricity,dem,d122,21.17097126
AT,AT,electricity,dem,d123,4.233830901
BE,BE,electricity,dem,d123,4.929532808
BG,BG,electricity,dem,d123,2.583167825
CH,CH,electricity,dem,d123,7.358195474
CZ,CZ,electricity,dem,d123,4.688591586
DK,DK,electricity,dem,d123,3.600698102
ES,ES,electricity,dem,d123,25.86215853
FI,FI,electricity,dem,d123,2.0065767
FR,FR,electricity,dem,d123,50.20551229
GR,GR,electricity,dem,d123,4.590953217
HR,HR,electricity,dem,d123,1.92162211
HU,HU,electricity,dem,d123,3.190515117
IE,IE,electricity,dem,d123,2.548996038
IT,IT,electricity,dem,d123,13.70377668
LU,LU,electricity,dem,d123,0.848202296
NL,NL,electricity,dem,d123,7.380097605
NO,NO,electricity,dem,d123,11.30638863
PL,PL,electricity,dem,d123,12.0471768
PT,PT,electricity,dem,d123,4.763257141
RO,RO,electricity,dem,d123,4.479125521
SE,SE,electricity,dem,d123,11.60103974
SI,SI,electricity,dem,d123,0.68034459
SK,SK,electricity,dem,d123,1.851355931
UK,UK,electricity,dem,d123,30.07485576
EE,EE,electricity,dem,d123,0.680070692
LT,LT,electricity,dem,d123,0.450707806
LV,LV,electricity,dem,d123,0.57359794
NONEU_Balkan,NONEU_Balkan,electricity,dem,d123,3.958600982
TR,TR,electricity,dem,d123,18.78771595
AT,AT,electricity,dem,d124,3.570675048
BE,BE,electricity,dem,d124,4.389182362
BG,BG,electricity,dem,d124,2.610444826
CH,CH,electricity,dem,d124,6.172121756
CZ,CZ,electricity,dem,d124,4.052350618
DK,DK,electricity,dem,d124,3.15308961
ES,ES,electricity,dem,d124,23.2043125
FI,FI,electricity,dem,d124,1.893089759
FR,FR,electricity,dem,d124,44.26328274
GR,GR,electricity,dem,d124,4.912746136
HR,HR,electricity,dem,d124,1.780710137
HU,HU,electricity,dem,d124,2.871121124
IE,IE,electricity,dem,d124,2.313314503
IT,IT,electricity,dem,d124,11.92233453
LU,LU,electricity,dem,d124,0.717533415
NL,NL,electricity,dem,d124,6.44128797
NO,NO,electricity,dem,d124,10.50050281
PL,PL,electricity,dem,d124,12.78727343
PT,PT,electricity,dem,d124,4.192476141
RO,RO,electricity,dem,d124,4.336635944
SE,SE,electricity,dem,d124,10.17602289
SI,SI,electricity,dem,d124,0.69987808
SK,SK,electricity,dem,d124,1.689661002
UK,UK,electricity,dem,d124,26.32965365
EE,EE,electricity,dem,d124,0.598383521
LT,LT,electricity,dem,d124,0.399168656
LV,LV,electricity,dem,d124,0.495521995
NONEU_Balkan,NONEU_Balkan,electricity,dem,d124,4.179518944
TR,TR,electricity,dem,d124,20.1046002
AT,AT,electricity,dem,d125,3.233704963
BE,BE,electricity,dem,d125,4.122770207
BG,BG,electricity,dem,d125,2.545087697
CH,CH,electricity,dem,d125,5.676927607
CZ,CZ,electricity,dem,d125,3.885805104
DK,DK,electricity,dem,d125,3.061720846
ES,ES,electricity,dem,d125,21.37361406
FI,FI,electricity,dem,d125,1.902503465
FR,FR,electricity,dem,d125,40.30056476
GR,GR,electricity,dem,d125,3.893845353
HR,HR,electricity,dem,d125,1.658824991
HU,HU,electricity,dem,d125,2.745504033
IE,IE,electricity,dem,d125,2.159760525
IT,IT,electricity,dem,d125,10.73785299
LU,LU,electricity,dem,d125,0.64624723
NL,NL,electricity,dem,d125,5.982818674
NO,NO,electricity,dem,d125,9.806105376
PL,PL,electricity,dem,d125,12.06279984
PT,PT,electricity,dem,d125,3.890280736
RO,RO,electricity,dem,d125,3.557830932
SE,SE,electricity,dem,d125,9.902101964
SI,SI,electricity,dem,d125,0.749918359
SK,SK,electricity,dem,d125,1.635312123
UK,UK,electricity,dem,d125,25.32626664
EE,EE,electricity,dem,d125,0.581259207
LT,LT,electricity,dem,d125,0.380004338
LV,LV,electricity,dem,d125,0.477334893
NONEU_Balkan,NONEU_Balkan,electricity,dem,d125,3.809264371
TR,TR,electricity,dem,d125,15.93491744
AT,AT,electricity,dem,d126,4.277354123
BE,BE,electricity,dem,d126,4.914502411
BG,BG,electricity,dem,d126,2.528577934
CH,CH,electricity,dem,d126,7.252526715
CZ,CZ,electricity,dem,d126,4.681170534
DK,DK,electricity,dem,d126,3.534831959
ES,ES,electricity,dem,d126,25.63128245
FI,FI,electricity,dem,d126,2.051051187
FR,FR,electricity,dem,d126,46.63392546
GR,GR,electricity,dem,d126,4.20256455
HR,HR,electricity,dem,d126,1.877633485
HU,HU,electricity,dem,d126,3.184919224
IE,IE,electricity,dem,d126,2.21143382
IT,IT,electricity,dem,d126,13.68772926
LU,LU,electricity,dem,d126,0.787786468
