region_1,region_2,carrier_1,parameter,timestep_2,value
FI,FI,electricity,dem,d005,2.443621956
FR,FR,electricity,dem,d005,57.9346397
GR,GR,electricity,dem,d005,6.673639656
HR,HR,electricity,dem,d005,2.025702337
HU,HU,electricity,dem,d005,3.176204309
IE,IE,electricity,dem,d005,2.599056834
IT,IT,electricity,dem,d005,12.18413851
LU,LU,electricity,dem,d005,0.771301257
NL,NL,electricity,dem,d005,7.254072985
NO,NO,electricity,dem,d005,12.3341104
PL,PL,electricity,dem,d005,15.85543909
PT,PT,electricity,dem,d005,4.768602492
RO,RO,electricity,dem,d005,5.629124121
SE,SE,electricity,dem,d005,13.59283439
SI,SI,electricity,dem,d005,0.827544295
SK,SK,electricity,dem,d005,1.902057748
UK,UK,electricity,dem,d005,31.54104501
EE,EE,electricity,dem,d005,0.774786531
LT,LT,electricity,dem,d005,0.489234351
LV,LV,electricity,dem,d005,0.681159035
NONEU_Balkan,NONEU_Balkan,electricity,dem,d005,5.843106258
TR,TR,electricity,dem,d005,27.31076539
AT,AT,electricity,dem,d006,3.861874232
BE,BE,electricity,dem,d006,4.73674116
BG,BG,electricity,dem,d006,4.133183371
CH,CH,electricity,dem,d006,8.812405375
CZ,CZ,electricity,dem,d006,4.580758004
DK,DK,electricity,dem,d006,4.125095735
ES,ES,electricity,dem,d006,23.439662
FI,FI,electricity,dem,d006,2.412200162
FR,FR,electricity,dem,d006,56.41011579
GR,GR,electricity,dem,d006,6.323245019
HR,HR,electricity,dem,d006,1.905213655
HU,HU,electricity,dem,d006,3.09853454
IE,IE,electricity,dem,d006,2.476836663
IT,IT,electricity,dem,d006,11.24573904
LU,LU,electricity,dem,d006,0.748707084
NL,NL,electricity,dem,d006,6.776345558
NO,NO,electricity,dem,d006,12.1325927
PL,PL,electricity,dem,d006,14.17404492
PT,PT,electricity,dem,d006,4.530770974
RO,RO,electricity,dem,d006,5.287601486
SE,SE,electricity,dem,d006,13.48321526
SI,SI,electricity,dem,d006,0.790255396
SK,SK,electricity,dem,d006,1.883924453
UK,UK,electricity,dem,d006,31.31456732
EE,EE,electricity,dem,d006,0.77288383
LT,LT,electricity,dem,d006,0.474308613
LV,LV,electricity,dem,d006,0.669707897
NONEU_Balkan,NONEU_Balkan,electricity,dem,d006,5.869781572
TR,TR,electricity,dem,d006,25.87683336
AT,AT,electricity,dem,d007,4.789098207
BE,BE,electricity,dem,d007,5.541687862
BG,BG,electricity,dem,d007,4.570081957
CH,CH,electricity,dem,d007,10.28479632
CZ,CZ,electricity,dem,d007,5.566701736
DK,DK,electricity,dem,d007,4.5848461
ES,ES,electricity,dem,d007,26.56104163
FI,FI,electricity,dem,d007,2.649715193
FR,FR,electricity,dem,d007,65.57742026
GR,GR,electricity,dem,d007,7.186913049
HR,HR,electricity,dem,d007,2.209642865
HU,HU,electricity,dem,d007,3.488473476
IE,IE,electricity,dem,d007,2.792850017
IT,IT,electricity,dem,d007,14.49937694
LU,LU,electricity,dem,d007,0.859027735
NL,NL,electricity,dem,d007,8.262560275
NO,NO,electricity,dem,d007,13.21470206
PL,PL,electricity,dem,d007,17.47070236
PT,PT,electricity,dem,d007,5.457640235
RO,RO,electricity,dem,d007,6.109801225
SE,SE,electricity,dem,d007,15.13102283
SI,SI,electricity,dem,d007,0.9418241
SK,SK,electricity,dem,d007,2.115729691
UK,UK,electricity,dem,d007,35.9199572
EE,EE,electricity,dem,d007,0.878080652
LT,LT,electricity,dem,d007,0.548557974
LV,LV,electricity,dem,d007,0.770869826
NONEU_Balkan,NONEU_Balkan,electricity,dem,d007,5.574438913
TR,TR,electricity,dem,d007,29.41125178
AT,AT,electricity,dem,d008,4.931746302
BE,BE,electricity,dem,d008,5.763249485
BG,BG,electricity,dem,d008,4.790666752
CH,CH,electricity,dem,d008,10.24939113
CZ,CZ,electricity,dem,d008,5.763873358
DK,DK,electricity,dem,d008,4.557280768
ES,ES,electricity,dem,d008,30.49215022
FI,FI,electricity,dem,d008,2.566265948
FR,FR,electricity,dem,d008,68.95402385
GR,GR,electricity,dem,d008,7.687443103
HR,HR,electricity,dem,d008,2.273792942
HU,HU,electricity,dem,d008,3.62944105
IE,IE,electricity,dem,d008,2.831476722
IT,IT,electricity,dem,d008,15.45274966
LU,LU,electricity,dem,d008,0.899903872
NL,NL,electricity,dem,d008,8.407963994
NO,NO,electricity,dem,d008,13.27938751
PL,PL,electricity,dem,d008,18.14470763
PT,PT,electricity,dem,d008,5.525482262
RO,RO,electricity,dem,d008,6.555747214
SE,SE,electricity,dem,d008,14.9634223
SI,SI,electricity,dem,d008,0.994455298
SK,SK,electricity,dem,d008,2.236567321
UK,UK,electricity,dem,d008,36.27326087
EE,EE,electricity,dem,d008,0.899139367
LT,LT,electricity,dem,d008,0.558404014
LV,LV,electricity,dem,d008,0.772033311
NONEU_Balkan,NONEU_Balkan,electricity,dem,d008,6.023148478
TR,TR,electricity,dem,d008,31.45958815
AT,AT,electricity,dem,d009,4.919259202
BE,BE,electricity,dem,d009,5.855335283
BG,BG,electricity,dem,d009,4.911762278
CH,CH,electricity,dem,d009,10.55033521
CZ,CZ,electricity,dem,d009,5.749373765
DK,DK,electricity,dem,d009,4.663041635
